<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.01	00:00:00	3287.57	3290.16	3240.97	3246.10	26191	0	18
2025.05.01	04:00:00	3246.11	3251.47	3221.08	3226.37	30627	0	18
2025.05.01	08:00:00	3226.35	3242.97	3223.07	3235.04	30119	0	18
2025.05.01	12:00:00	3235.10	3236.31	3201.77	3226.85	45126	0	18
2025.05.01	16:00:00	3226.79	3233.18	3204.83	3219.50	60831	0	18
2025.05.01	20:00:00	3219.59	3239.52	3209.81	3237.76	30731	0	18
2025.05.02	00:00:00	3240.58	3244.24	3227.34	3231.07	15301	0	18
2025.05.02	04:00:00	3231.07	3258.54	3230.94	3251.74	22647	0	18
2025.05.02	08:00:00	3251.40	3263.32	3246.19	3258.02	25843	0	18
2025.05.02	12:00:00	3258.04	3269.21	3248.22	3250.24	37447	0	18
2025.05.02	16:00:00	3250.24	3264.47	3222.72	3224.85	94440	0	18
2025.05.02	20:00:00	3224.95	3241.52	3223.44	3241.16	45062	0	18
2025.05.05	00:00:00	3242.22	3251.65	3237.37	3246.32	20193	0	18
2025.05.05	04:00:00	3246.33	3271.59	3246.12	3256.34	40296	0	18
2025.05.05	08:00:00	3256.31	3283.58	3253.87	3283.38	38151	0	18
2025.05.05	12:00:00	3283.41	3322.51	3282.92	3319.54	50232	0	18
2025.05.05	16:00:00	3319.54	3328.64	3305.58	3309.65	60165	0	18
2025.05.05	20:00:00	3309.71	3337.49	3309.00	3333.87	30649	0	18
2025.05.06	00:00:00	3336.09	3337.92	3321.90	3329.24	18379	0	18
2025.05.06	04:00:00	3329.24	3386.98	3329.24	3363.56	67293	0	18
2025.05.06	08:00:00	3363.56	3383.06	3350.19	3377.17	53171	0	18
2025.05.06	12:00:00	3377.17	3392.30	3371.36	3391.01	46447	0	18
2025.05.06	16:00:00	3391.22	3411.62	3378.22	3408.83	69383	0	18
2025.05.06	20:00:00	3408.83	3434.86	3407.44	3430.56	38124	0	18
2025.05.07	00:00:00	3426.01	3430.46	3360.65	3379.35	47101	0	18
2025.05.07	04:00:00	3379.24	3393.88	3359.95	3381.97	46412	0	18
2025.05.07	08:00:00	3381.98	3397.38	3378.17	3382.81	41451	0	18
2025.05.07	12:00:00	3382.77	3393.85	3369.19	3390.87	47110	0	18
2025.05.07	16:00:00	3390.89	3397.97	3375.59	3386.89	61592	0	18
2025.05.07	20:00:00	3386.79	3397.88	3363.57	3363.95	53065	0	18
2025.05.08	00:00:00	3366.88	3386.76	3366.34	3380.49	15566	0	18
2025.05.08	04:00:00	3380.48	3414.60	3378.83	3381.76	51184	0	18
2025.05.08	08:00:00	3381.83	3384.08	3320.13	3339.22	68777	0	18
2025.05.08	12:00:00	3339.19	3358.53	3330.37	3356.04	44861	0	18
2025.05.08	16:00:00	3356.04	3369.43	3304.30	3310.15	71096	0	18
2025.05.08	20:00:00	3310.13	3311.09	3288.61	3306.27	41449	0	18
2025.05.09	00:00:00	3308.26	3323.92	3306.18	3322.07	18612	0	18
2025.05.09	04:00:00	3322.05	3327.24	3274.43	3324.43	48988	0	18
2025.05.09	08:00:00	3324.47	3332.17	3312.73	3328.53	41282	0	18
2025.05.09	12:00:00	3328.53	3338.33	3322.06	3333.53	33460	0	18
2025.05.09	16:00:00	3333.53	3347.44	3320.31	3336.82	63738	0	18
2025.05.09	20:00:00	3336.80	3342.91	3324.55	3325.87	28975	0	18
2025.05.12	00:00:00	3279.61	3291.08	3265.59	3278.79	29166	0	18
2025.05.12	04:00:00	3278.79	3284.62	3258.59	3278.72	41549	0	18
